Name,Fifa,Fifa Ability Overall,Liga,Position,Player,Apps,Minutes played,Assists,Yel,Red,Pass success percentage,Aerials Won per game,Man of the match,Rating,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage.1,Crosses,Long balls per game,Through balls per game
Robert Lewandowski,R. Lewandowski,90,BuLi,FW,"Robert Lewandowski Bayern Munich, 31, FW ",33,2959,7,2,-,77.5,1.7,5,7.65,0.4,0.2,0.8,-,0.5,0.2,-,-,22,4.4,1.5,1.4,0.9,1.5,2.8,1.4,22.1,77.5,-,0.6,0.2
Thiago Alcántara,Thiago,86,BuLi,M(C),"Thiago Alcántara Bayern Munich, 28, M(C) ",26(4),2409,6,5,-,91.8,1.2,3,7.59,2.9,1.5,1.7,-,0.6,0.8,0.1,-,2,0.8,1.9,1.1,-,0.9,0.7,1.3,83.6,91.8,0.5,7.3,0.1
Kerem Demirbay,K. Demirbay,80,BuLi,AM(C),"Kerem Demirbay Hoffenheim, 26, AM(C) ",24(2),2023,9,6,-,81.2,0.7,6,7.59,2.2,0.8,1.8,-,0.8,1.5,0.4,-,4,2.3,2.2,1.3,0.1,2,2,3.1,48.8,81.2,1.7,2.9,0.2
Marcel Halstenberg,M. Halstenberg,78,BuLi,"D(L), M(L)","Marcel Halstenberg RasenBallsport Leipzig, 27, D(L),M(L) ",27(1),2414,6,2,-,74.3,2.6,3,7.56,2.4,1.4,0.9,0.5,1.9,0.8,0.1,-,3,0.8,1,0.8,0.1,0.9,1,2,40.9,74.3,1.6,1.4,-
Sébastien Haller,S. Haller,80,BuLi,FW,"Sébastien Haller Eintracht Frankfurt, 25, FW ",23(6),2181,9,3,-,63.4,6.9,3,7.55,0.8,0.5,1.4,-,0.8,0.4,-,-,15,1.9,1,1.5,0.7,1.7,3,1.3,27.1,63.4,-,0.4,0.1
Jadon Sancho,J. Sancho,77,BuLi,AM(LR),"Jadon Sancho Borussia Dortmund, 19, AM(LR) ",26(8),2464,14,2,-,84.9,-,7,7.52,0.6,0.4,0.1,-,0.1,0.6,-,-,12,1.2,3.3,1.1,0.1,1.7,2.7,1.9,38.3,84.9,0.8,0.6,0.1
Joshua Kimmich,J. Kimmich,85,BuLi,"D(CR), DMC","Joshua Kimmich Bayern Munich, 24, D(CR),DMC ",34,3060,13,4,-,90.5,0.7,4,7.49,1.4,1,0.8,0.1,1,0.9,0.3,-,2,0.7,1.1,1.5,0.1,0.7,1.2,2.4,74.1,90.5,2.2,4.2,0.1
Gregor Kobel,G. Kobel,66,BuLi,GK,"Gregor Kobel Hoffenheim, 21, GK ",1,90,-,-,-,61.5,1,-,7.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,61.5,-,15,-
Frederik Rönnow,F. Rönnow,75,BuLi,GK,"Frederik Rönnow Eintracht Frankfurt, 27, GK ",1(1),122,-,-,-,59.6,-,-,7.47,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,-,-,26,59.6,-,10.5,-
Thorgan Hazard,T. Hazard,81,BuLi,"AM(CLR), FW","Thorgan Hazard Borussia M.Gladbach, 26, AM(CLR),FW ",33,2878,10,1,-,76.9,0.7,6,7.44,1.5,0.8,0.8,-,0.2,0.9,0.1,-,10,2.3,2.2,1.8,0.5,1.5,2.2,2.2,34.8,76.9,1.4,1.6,0.2
Willi Orban,W. Orban,79,BuLi,D(C),"Willi Orban RasenBallsport Leipzig, 26, D(C) ",23(1),2050,-,5,-,78.2,4.8,3,7.41,2,1.5,1.1,1.4,5.7,0.6,0.6,-,4,1.1,0.1,1.2,-,0.1,0.4,-,41.6,78.2,-,2.7,-
Lukasz Piszczek,L. Piszczek,81,BuLi,"D(CR), M(R)","Lukasz Piszczek Borussia Dortmund, 34, D(CR),M(R) ",20,1759,6,3,-,83.3,3.1,2,7.41,2.9,2,0.8,0.2,3,0.8,0.2,-,1,0.6,0.4,0.5,-,0.3,0.7,1.1,56.2,83.3,0.6,1.3,0.2
Marco Reus,M. Reus,86,BuLi,"M(CLR), FW","Marco Reus Borussia Dortmund, 30, M(CLR),FW ",27,2322,8,3,1,81.8,0.7,5,7.39,1.2,0.3,1.3,-,1.2,0.9,-,-,17,2.6,0.9,1.1,0.6,1.4,2,1.4,37.6,81.8,0.4,1.5,0.1
Ihlas Bebou,I. Bebou,76,BuLi,"AM(CLR), FW","Ihlas Bebou Hannover 96, 25, AM(CLR),FW ",12,1068,3,1,-,71.5,1.7,4,7.34,1.3,0.8,0.8,-,0.7,0.4,0.2,-,4,2.3,2.9,1.8,0.3,1.8,2.4,1.3,30.1,71.5,0.8,0.8,0.2
Kingsley Coman,K. Coman,83,BuLi,"AM(LR), FW","Kingsley Coman Bayern Munich, 23, AM(LR),FW ",17(4),1392,4,2,-,85,0.6,2,7.34,0.5,0.2,0.8,-,0.1,0.6,-,-,6,1.5,2.9,2,0.1,1.6,2.3,1.3,29.4,85,0.7,0.5,-
Ignacio Camacho,Camacho,67,BuLi,"D(C), M(C)","Ignacio Camacho Wolfsburg, 29, D(C),M(C) ",6,540,-,3,-,78.3,5.5,1,7.34,2.5,3,2.3,-,2,0.7,0.3,-,-,1.2,0.2,1.8,0.2,0.2,0.8,0.3,50,78.3,-,5.8,0.3
Ishak Belfodil,I. Belfodil,76,BuLi,"AM(LR), FW","Ishak Belfodil Hoffenheim, 27, AM(LR),FW ",20(8),1864,3,3,-,72.2,1.8,4,7.29,0.5,0.1,0.9,-,0.5,0.4,-,-,16,3.1,1.4,0.5,0.8,1.1,1.4,1.1,15.6,72.2,0.1,0.1,-
Kevin Volland,K. Volland,81,BuLi,"AM(CLR), FW","Kevin Volland Bayer Leverkusen, 27, AM(CLR),FW ",32(2),2820,9,4,-,75,1,4,7.28,1,0.2,1.2,0.1,0.9,0.4,-,-,14,2.6,0.9,1.5,0.6,1.7,2.8,1.3,25.3,75,0.6,0.7,0.1
Daniel Caligiuri,D. Caligiuri,79,BuLi,"D(R), M(CLR), FW","Daniel Caligiuri Schalke 04, 31, D(R),M(CLR),FW ",31,2760,3,9,-,68.5,1.3,5,7.28,3,1.6,1,0.1,2,1.9,0.3,-,7,1.6,2.1,1.2,-,1.4,1.5,1.9,37.2,68.5,1.5,2.7,-
Yussuf Poulsen,Y. Poulsen,78,BuLi,"AM(R), FW","Yussuf Poulsen RasenBallsport Leipzig, 25, AM(R),FW ",27(4),2454,3,2,-,60.8,4.6,4,7.27,0.6,0.2,1.8,0.1,0.9,0.7,0.1,-,15,2.1,0.8,1.6,0.6,2,3.1,1.1,24.9,60.8,0.2,0.3,0.1
Marko Grujic,M. Grujić,73,BuLi,DMC,"Marko Grujic Hertha Berlin, 23, DMC ",20(2),1780,1,5,-,81.9,3.2,3,7.26,2,1.3,2,0.1,2.3,1.1,0.3,-,5,2.1,1.4,1,-,0.9,1,0.7,43.1,81.9,-,1.6,-
Filip Kostic,F. Kostić,77,BuLi,"M(LR), FW","Filip Kostic Eintracht Frankfurt, 26, M(LR),FW ",33(1),2961,10,4,-,64.7,1.3,5,7.26,1.9,0.7,0.8,0.1,1.1,1.2,0.2,-,6,1.8,1.7,1.1,0.1,1.4,1.7,1.4,29.7,64.7,1.4,1.4,0.1
Julian Brandt,J. Brandt,82,BuLi,"M(CLR), FW","Julian Brandt Bayer Leverkusen, 23, M(CLR),FW ",30(3),2674,11,-,-,81.4,0.9,3,7.26,0.8,0.5,0.4,-,0.2,1.1,-,-,7,2,1.7,0.7,0.1,1.5,2.3,2.6,51.6,81.4,1.2,2.4,0.2
Kai Havertz,K. Havertz,80,BuLi,M(CR),"Kai Havertz Bayer Leverkusen, 20, M(CR) ",33(1),2901,3,2,-,87.2,1.6,2,7.25,0.8,0.5,0.7,-,0.8,0.7,0.1,-,17,2.6,1.4,1.5,0.1,2,2.2,1,52.6,87.2,0.1,2.2,0.1
Vincenzo Grifo,V. Grifo,77,BuLi,AM(CL),"Vincenzo Grifo Freiburg, 26, AM(CL) ",16,1431,3,1,-,79.2,0.2,1,7.25,1.6,0.1,0.5,-,0.6,0.8,0.1,-,6,2.6,1.9,1.1,0.6,1.6,1.9,2.2,43.3,79.2,1.1,2.9,0.1
Wout Weghorst,W. Weghorst,78,BuLi,FW,"Wout Weghorst Wolfsburg, 27, FW ",33(1),2931,7,4,-,69.5,3.4,3,7.24,0.9,0.3,1.1,-,0.9,0.8,0.1,-,17,2.1,0.4,1.1,0.9,1.4,1.9,1.1,23.6,69.5,0.1,0.5,0.1
James Rodríguez,J. Rodríguez,88,BuLi,AM(CLR),"James Rodríguez Bayern Munich, 28, AM(CLR) ",13(7),1143,3,2,-,87.1,0.2,3,7.24,0.6,0.2,0.4,-,0.1,0.7,-,-,7,1.8,0.8,0.8,0.3,0.6,0.7,2.6,43.9,87.1,1.6,2.4,0.2
Max Kruse,M. Kruse,82,BuLi,"M(CLR), FW","Max Kruse Werder Bremen, 31, M(CLR),FW ",32,2837,9,-,-,79.1,0.8,5,7.23,0.5,0.3,0.7,-,0.2,1,-,-,11,2.8,1.2,1,0.2,1.4,2.4,2.6,49.9,79.1,1.7,3.4,0.1
Joelinton,Joelinton,75,BuLi,FW,"Joelinton Hoffenheim, 23, FW ",25(3),2136,5,5,-,79.3,2.3,1,7.21,1.3,0.5,2,-,0.3,0.7,0.1,-,7,2,1.7,1,0.1,2.2,2.9,1.5,24.7,79.3,0.2,0.3,0.1
Thomas Müller,T. Müller,86,BuLi,"M(CLR), FW","Thomas Müller Bayern Munich, 29, M(CLR),FW ",28(4),2391,9,1,-,74.7,1.6,3,7.19,1.3,0.3,0.7,-,0.4,0.9,0.2,-,6,2,0.7,0.8,0.5,0.5,1.5,1.9,37.5,74.7,0.2,1.2,0.1
Ibrahima Konaté,I. Konaté,74,BuLi,D(C),"Ibrahima Konaté RasenBallsport Leipzig, 20, D(C) ",27(1),2431,1,7,-,76,3.6,-,7.19,1.6,2.1,1.3,1,4.3,0.4,0.6,-,1,0.5,0.8,0.9,-,0.4,0.7,0.2,37,76,-,1.9,-
Mark Flekken,M. Flekken,72,BuLi,GK,"Mark Flekken Freiburg, 26, GK ",1,90,-,-,-,78.6,-,-,7.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,78.6,-,7,-
Kevin Stöger,K. Stöger,75,BuLi,M(CL),"Kevin Stöger Fortuna Duesseldorf, 26, M(CL) ",24(1),2121,7,8,-,85,0.2,3,7.17,2.5,1.2,1.9,0.1,0.6,1.5,0.2,-,1,1.3,1.1,2.4,-,1,1.4,2.2,54.8,85,1.2,5.4,0.2
Timo Werner,T. Werner,83,BuLi,"AM(L), FW","Timo Werner RasenBallsport Leipzig, 23, AM(L),FW ",29(1),2525,7,1,-,74.2,0.3,5,7.17,0.6,0.1,0.8,-,0.1,0.4,0.1,-,16,3.6,1,1.2,1.2,1.2,2.9,1.2,25.5,74.2,0.2,0.4,0.1
Mats Hummels,M. Hummels,88,BuLi,D(C),"Mats Hummels Bayern Munich, 30, D(C) ",20(1),1776,1,1,-,89.4,4,-,7.17,1.2,1.6,0.4,0.2,2.3,0.7,0.4,-,1,0.9,0.5,0.4,-,0.1,0.4,0.6,82.6,89.4,-,4.5,0.1
Serge Gnabry,S. Gnabry,83,BuLi,"AM(CLR), FW","Serge Gnabry Bayern Munich, 24, AM(CLR),FW ",21(9),1774,5,-,-,83.4,0.2,3,7.15,1.2,0.4,0.8,-,0.1,0.8,-,-,10,2.2,1.7,0.5,0.4,1,1.5,0.9,26.4,83.4,0.3,1,0.1
Kevin Kampl,K. Kampl,83,BuLi,M(CLR),"Kevin Kampl RasenBallsport Leipzig, 28, M(CLR) ",25(2),2122,5,5,-,84.4,0.6,2,7.13,1.5,1.2,1.1,-,0.7,0.7,0.1,-,2,1.3,0.9,0.3,0.3,0.9,1.1,1.8,52.9,84.4,0.7,2.4,0.1
Thomas Delaney,T. Delaney,82,BuLi,DMC,"Thomas Delaney Borussia Dortmund, 28, DMC ",27(3),2290,5,7,-,85.5,1.9,4,7.13,2.3,1.9,1.5,-,1.4,0.4,0.3,-,3,1.1,0.3,0.8,0.1,0.5,1.2,0.5,53.6,85.5,0.1,2.7,-
Louis Beyer,J. Beyer,63,BuLi,D(R),"Louis Beyer Borussia M.Gladbach, 19, D(R) ",8(1),721,-,1,-,87.9,1.6,-,7.12,3.6,1.2,0.8,0.8,3,0.8,0.7,-,-,0.6,0.8,0.4,0.1,0.4,0.8,0.2,47.6,87.9,0.1,1.3,-
Maximilian Arnold,M. Arnold,78,BuLi,M(CR),"Maximilian Arnold Wolfsburg, 25, M(CR) ",33,2879,6,7,-,80.8,0.8,2,7.11,1.6,1.1,1.4,-,1.3,1.2,0.3,-,2,1.6,0.8,2.5,0.1,0.9,1.1,1.4,39.6,80.8,1,4.7,0.1
Axel Witsel,A. Witsel,84,BuLi,M(C),"Axel Witsel Borussia Dortmund, 30, M(C) ",32(1),2873,1,2,-,93.1,1.4,-,7.11,1.4,1.4,0.8,-,1.4,0.3,0.2,-,4,1.1,0.8,1.5,-,0.8,0.6,0.5,72.8,93.1,-,2.4,0.1
Achraf Hakimi,A. Hakimi,78,BuLi,D(LR),"Achraf Hakimi Borussia Dortmund, 20, D(LR) ",19(2),1740,4,4,-,86.1,0.8,-,7.11,1.6,1.4,0.7,0.3,1.8,0.9,0.2,-,2,1,1.8,1.7,-,1.3,1.4,0.5,63.4,86.1,0.4,2.1,0.1
Nils Petersen,N. Petersen,79,BuLi,FW,"Nils Petersen Freiburg, 30, FW ",20(4),1930,3,-,-,68.2,3.8,3,7.11,1.2,0.5,1,-,1.4,0.8,0.1,-,10,2,0.3,0.8,0.1,1.2,2,0.9,21.3,68.2,-,0.7,-
Sebastian Rode,S. Rode,76,BuLi,"D(R), M(C)","Sebastian Rode Eintracht Frankfurt, 28, D(R),M(C) ",12,931,-,4,-,83.4,1.4,-,7.1,2.6,1.6,1.3,0.1,1.1,1.6,-,-,-,0.3,0.9,0.8,-,0.4,1.3,1.5,43.1,83.4,1,2.3,0.1
Benjamin Hübner,B. Hübner,79,BuLi,D(C),"Benjamin Hübner Hoffenheim, 30, D(C) ",9(1),813,-,2,-,82.6,2.6,-,7.1,2.9,2.1,0.8,1,3.5,0.4,0.7,-,-,0.9,0.1,1,-,0.1,0.4,-,50,82.6,-,2.9,-
Jordan Torunarigha,J. Torunarigha,70,BuLi,D(C),"Jordan Torunarigha Hertha Berlin, 22, D(C) ",13(1),1161,2,2,1,79.4,2.7,1,7.09,2.4,2.1,1.9,0.3,3.9,0.7,0.5,-,2,0.5,0.1,0.4,-,0.4,0.7,0.4,33.9,79.4,0.1,3.1,-
William,William,74,BuLi,"D(LR), M(R)","William Wolfsburg, 24, D(LR),M(R) ",30(1),2676,1,10,-,74.4,1.6,1,7.09,2.6,2.7,1.2,0.2,3.5,1.3,0.1,-,2,0.8,0.9,0.6,-,0.6,0.9,1.3,43.8,74.4,0.9,4,-
Andrej Kramaric,A. Kramarić,82,BuLi,"AM(CLR), FW","Andrej Kramaric Hoffenheim, 28, AM(CLR),FW ",28(2),2404,4,2,-,80.9,0.3,2,7.09,0.3,0.3,0.2,-,0.4,0.7,0.1,-,17,3.7,0.9,0.6,0.3,1.7,1.5,1.6,31.9,80.9,0.8,1.2,0.1
Florian Grillitsch,F. Grillitsch,77,BuLi,"DMC, M(L)","Florian Grillitsch Hoffenheim, 24, DMC,M(L) ",27(3),2395,3,8,-,83.5,1.6,-,7.06,2.6,2.4,1.4,0.1,1.7,1.5,0.3,-,-,1.1,0.8,1.6,-,0.4,0.9,0.9,51.6,83.5,0.2,3.5,0.1
Salif Sané,S. Sané,82,BuLi,"D(C), DMC","Salif Sané Schalke 04, 29, D(C),DMC ",29(1),2613,-,4,-,83.2,4,1,7.06,1.8,2.3,0.9,0.4,4.8,0.6,1,-,2,0.6,0.5,1.1,-,0.2,0.4,0.2,51.1,83.2,0.1,3.1,-
Theodor Gebre Selassie,T. Gebre Selassie,76,BuLi,"D(LR), DMC, M(R)","Theodor Gebre Selassie Werder Bremen, 32, D(LR),DMC,M(R) ",32,2815,2,2,-,79.8,3.3,1,7.03,1.7,2.2,1,0.6,2.8,0.9,0.3,-,3,0.9,0.4,1,0.1,0.7,1,0.7,41.9,79.8,0.3,0.9,-
Almamy Touré,A. Touré,76,BuLi,D(CR),"Almamy Touré Eintracht Frankfurt, 23, D(CR) ",6(1),520,-,-,-,73.3,2.1,-,7.03,2.6,1.3,0.7,0.9,3.4,0.4,0.1,-,-,0.3,1.6,0.1,-,-,0.3,0.1,34.7,73.3,0.3,1.3,0.1
Jérôme Roussillon,J. Roussillon,79,BuLi,"D(L), M(L)","Jérôme Roussillon Wolfsburg, 26, D(L),M(L) ",28,2466,4,4,-,77.3,0.9,3,7.03,1.5,1.1,0.7,-,1.5,0.4,0.3,-,3,0.7,1.8,1.4,-,1.3,1.6,1.1,36.6,77.3,1.1,1.9,-
Emil Forsberg,E. Forsberg,82,BuLi,AM(CLR),"Emil Forsberg RasenBallsport Leipzig, 27, AM(CLR) ",14(6),1254,7,-,-,81.6,0.4,1,7.02,0.6,0.2,0.4,-,0.3,0.6,0.1,-,4,1.5,1.1,1.2,0.2,1.1,1.5,2,23.9,81.6,0.7,0.8,0.2
Raphael Guerreiro,R. Guerreiro,81,BuLi,"D(L), M(CL)","Raphael Guerreiro Borussia Dortmund, 25, D(L),M(CL) ",17(6),1532,6,2,-,85.5,0.3,1,7.02,1.1,0.8,0.4,-,0.4,0.5,-,-,2,1.5,1.3,0.9,0.1,1,1.9,1.7,46.1,85.5,0.7,0.9,0.1
Ondrej Duda,O. Duda,75,BuLi,"AM(C), FW","Ondrej Duda Hertha Berlin, 24, AM(C),FW ",30(2),2575,5,7,-,76.9,1,5,7.02,1.7,0.5,2.4,-,0.4,1.3,0.1,-,11,1.7,1.2,1.4,0.2,1.3,2.3,1.3,37.6,76.9,0.5,1.4,0.1
Marc Oliver Kempf,M. Kempf,74,BuLi,D(C),"Marc Oliver Kempf VfB Stuttgart, 24, D(C) ",23,2026,-,3,-,81.2,5,3,7.01,1.4,2,1,0.6,5.7,0.5,0.9,-,2,0.6,0.1,1.3,-,0.2,0.5,0.3,44,81.2,0.1,3.2,-
David Alaba,D. Alaba,85,BuLi,"D(CL), M(C)","David Alaba Bayern Munich, 27, D(CL),M(C) ",29(2),2534,3,4,-,85.5,0.8,-,7.01,1.1,1,0.4,0.3,1,0.3,0.1,-,3,1.5,0.9,0.4,0.2,0.6,0.8,0.9,56.9,85.5,0.7,1.7,-
Lukas Klostermann,L. Klostermann,75,BuLi,"D(LR), M(R)","Lukas Klostermann RasenBallsport Leipzig, 23, D(LR),M(R) ",22(4),2003,1,1,-,74,1.6,2,7.01,1.9,1.1,0.7,0.5,2.4,0.6,0.2,-,5,0.5,0.3,0.4,-,0.3,0.4,0.8,30.6,74,0.3,1.5,-
Charles Aránguiz,C. Aránguiz,81,BuLi,M(C),"Charles Aránguiz Bayer Leverkusen, 30, M(C) ",22(2),1897,7,3,-,88.6,0.5,2,7.0,2,1,1.1,-,1,1.9,0.1,-,2,1,0.4,1.3,-,1.1,1.2,1.3,67.8,88.6,0.5,3.3,-
Mario Götze,M. Götze,82,BuLi,"M(CLR), FW","Mario Götze Borussia Dortmund, 27, M(CLR),FW ",19(7),1680,7,-,-,81.5,0.3,-,7.0,1,0.3,0.8,-,0.2,0.8,-,-,7,1.1,1,1,0.5,1.6,1.7,1.6,33.3,81.5,0.3,0.7,0.2
Luka Jovic,L. Jović,78,BuLi,FW,"Luka Jovic Eintracht Frankfurt, 21, FW ",25(7),2249,5,1,-,70.4,1.9,4,7.0,0.3,0.1,0.9,-,0.9,0.3,-,-,17,3,0.8,1.3,0.5,1.4,2.3,0.8,18.7,70.4,0.1,0.9,0.1
Nadiem Amiri,N. Amiri,78,BuLi,AM(CL),"Nadiem Amiri Hoffenheim, 22, AM(CL) ",10(3),760,1,1,-,87.4,0.3,-,7.0,1.1,0.5,1.1,-,0.3,0.8,-,-,3,1.4,1.5,1.1,-,1,0.8,1.2,27.5,87.4,0.2,1.2,0.2
Bastian Oczipka,B. Oczipka,77,BuLi,"D(CL), M(L)","Bastian Oczipka Schalke 04, 30, D(CL),M(L) ",21,1876,5,3,-,77.1,0.6,-,7.0,2,1.1,0.8,-,1,0.2,0.2,-,1,0.6,1.1,1.1,-,1,1,2.1,36.8,77.1,2.4,1,-
Valentino Lazaro,V. Lazaro,73,BuLi,"D(R), M(CLR)","Valentino Lazaro Hertha Berlin, 23, D(R),M(CLR) ",31,2743,6,6,-,76.3,0.6,1,7.0,1.5,1.4,0.7,0.2,1.7,1,0.4,-,3,0.6,1.1,0.9,0.2,0.8,1.4,1.8,38.9,76.3,1.5,1.6,-
Nordi Mukiele,N. Mukiele,77,BuLi,"D(CR), M(R)","Nordi Mukiele RasenBallsport Leipzig, 21, D(CR),M(R) ",14(5),1227,1,3,-,72.8,2.1,-,6.99,2,1.3,1,0.4,1.8,0.2,0.2,-,1,0.4,0.9,1.1,-,0.7,1.1,0.6,30.5,72.8,0.4,1.5,0.1
Lukas Kübler,L. Kübler,70,BuLi,"D(R), M(R)","Lukas Kübler Freiburg, 27, D(R),M(R) ",15(1),1187,2,2,-,69.8,1.8,1,6.98,2.2,1.9,1,0.1,2.8,0.6,0.3,-,-,0.4,0.4,1.3,-,0.3,0.8,0.4,26.1,69.8,0.4,1.9,-
Milot Rashica,M. Rashica,76,BuLi,"AM(LR), FW","Milot Rashica Werder Bremen, 23, AM(LR),FW ",19(7),1559,5,1,-,69.1,0.3,3,6.98,0.9,0.2,1.3,-,0.2,0.6,0.1,-,9,2.3,1.3,1.3,0.3,1.3,1.8,1.2,14.7,69.1,1,0.3,-
Michael Esser,M. Esser,76,BuLi,GK,"Michael Esser Hannover 96, 31, GK ",32,2880,-,3,-,67.9,0.4,2,6.98,0.1,-,-,-,0.9,0.1,-,-,-,-,-,0.2,-,-,-,0.1,34.2,67.9,-,10.3,-
Maximilian Eggestein,M. Eggestein,78,BuLi,M(C),"Maximilian Eggestein Werder Bremen, 22, M(C) ",34,3053,4,4,-,80.5,1.3,2,6.98,2,0.9,1.1,0.1,1.9,0.9,0.3,-,5,1.3,0.4,1.2,-,1.1,1.3,1.4,45.8,80.5,0.2,1.4,0.1
Aarón Martín,Aarón Martín,77,BuLi,D(L),"Aarón Martín Mainz 05, 22, D(L) ",32(1),2879,3,3,-,81.9,0.7,3,6.98,1.7,1.2,0.9,0.1,1.8,0.5,0.3,-,-,0.5,1.4,0.8,0.2,0.7,0.7,1.9,36.2,81.9,1.6,1.8,-
Josuha Guilavogui,J. Guilavogui,79,BuLi,M(C),"Josuha Guilavogui Wolfsburg, 28, M(C) ",18(1),1572,1,5,-,81.6,1.5,1,6.97,1.6,2.3,1.3,0.1,2.9,0.6,0.4,-,2,0.4,0.4,0.4,-,0.4,0.5,0.4,42.1,81.6,0.1,2.7,0.1
Lucas Torró,Lucas Torró,74,BuLi,DMC,"Lucas Torró Eintracht Frankfurt, 25, DMC ",6(2),561,-,1,-,72,5,-,6.97,1.8,1.8,1.4,-,1.5,0.8,0.1,-,-,0.6,0.3,0.9,-,0.6,0.6,0.3,32.6,72,-,1.5,-
Leon Goretzka,L. Goretzka,83,BuLi,M(CR),"Leon Goretzka Bayern Munich, 24, M(CR) ",23(7),2021,4,3,-,87.5,1.3,1,6.96,1.4,0.9,0.9,-,0.5,0.8,0.1,1,8,1.8,0.5,0.7,-,0.6,0.8,0.6,38.4,87.5,-,1.2,-
Niklas Süle,N. Süle,84,BuLi,D(C),"Niklas Süle Bayern Munich, 24, D(C) ",29(2),2652,-,3,-,92.9,2.6,-,6.96,0.9,1.3,0.5,0.4,2.6,0.2,0.4,-,2,0.6,0.1,0.2,-,0.2,0.2,0.2,82.6,92.9,-,5.3,-
Julian Baumgartlinger,J. Baumgartlinger,78,BuLi,DMC,"Julian Baumgartlinger Bayer Leverkusen, 31, DMC ",16(5),1557,1,2,-,89.6,1.5,-,6.96,2.5,1.2,0.9,-,1,1.2,0.3,-,-,0.5,0.7,0.9,-,0.7,0.7,0.5,65.3,89.6,-,3.5,-
Maximilian Mittelstädt,M. Mittelstädt,70,BuLi,"D(L), M(L)","Maximilian Mittelstädt Hertha Berlin, 22, D(L),M(L) ",20(5),1802,1,2,1,73.2,1.7,1,6.96,2.4,1.8,0.6,-,2.1,1,0.2,-,1,0.9,1,0.9,-,1,1.3,0.8,29.6,73.2,0.6,2.3,-
Admir Mehmedi,A. Mehmedi,76,BuLi,"M(CLR), FW","Admir Mehmedi Wolfsburg, 28, M(CLR),FW ",20(6),1701,5,1,-,76.4,1.1,1,6.96,1.8,0.5,1.1,-,0.2,1,-,-,6,1.4,0.5,1.5,0.7,1.1,1.7,1.4,26,76.4,0.8,1,0.1
Lars Bender,L. Bender,83,BuLi,"D(R), M(CR)","Lars Bender Bayer Leverkusen, 30, D(R),M(CR) ",18(2),1367,4,2,-,82.9,1.9,2,6.95,2.2,1.1,1.4,-,1.2,0.9,0.2,-,1,0.8,0.5,1.4,0.1,0.2,1,0.7,41.3,82.9,0.1,1.1,-
Jonathan Tah,J. Tah,83,BuLi,D(C),"Jonathan Tah Bayer Leverkusen, 23, D(C) ",33,2939,1,3,-,89.8,2.3,-,6.95,1.3,1.4,0.5,1,4.1,0.5,0.8,-,3,0.4,0.5,0.4,0.1,0.4,0.5,0.2,75.5,89.8,0.1,3.8,-
Marcel Sabitzer,M. Sabitzer,81,BuLi,"AM(CLR), FW","Marcel Sabitzer RasenBallsport Leipzig, 25, AM(CLR),FW ",26(4),2356,3,9,-,70.4,0.7,1,6.94,1.5,1.1,0.9,-,1,0.9,0.1,1,4,2.1,0.5,1,0.2,1.5,1.5,1.2,36.9,70.4,0.4,1.3,-
Lars Stindl,L. Stindl,81,BuLi,"M(CR), FW","Lars Stindl Borussia M.Gladbach, 31, M(CR),FW ",19(2),1513,1,3,-,82.7,0.9,1,6.93,1,0.6,0.9,-,0.6,0.6,0.1,-,3,1.6,0.8,1.4,0.3,0.7,1.9,1,35.6,82.7,0.1,1.5,0.2
Jean-Philippe Mateta,J. Mateta,73,BuLi,FW,"Jean-Philippe Mateta Mainz 05, 22, FW ",29(5),2495,2,2,-,71.2,3.2,3,6.93,0.4,0.1,0.9,-,0.6,0.3,0.1,-,14,2.9,1,0.9,1.1,1.8,2.9,0.9,13.2,71.2,0.1,0.3,-
Péter Gulácsi,P. Gulácsi,80,BuLi,GK,"Péter Gulácsi RasenBallsport Leipzig, 29, GK ",33,2926,-,-,-,58.9,0.2,1,6.93,-,-,-,-,0.5,-,-,-,-,-,-,0.1,-,-,-,-,27.2,58.9,-,7.9,-
Jonathan Schmid,J. Schmid,74,BuLi,"D(R), M(LR)","Jonathan Schmid Augsburg, 29, D(R),M(LR) ",28,2520,7,1,-,81.1,1,2,6.93,1.6,1.5,0.8,0.1,2.1,0.4,0.3,1,3,0.6,0.6,0.8,0.1,0.7,0.6,1.6,35.8,81.1,1.4,1.6,-
Paco Alcácer,Paco Alcácer,81,BuLi,"AM(R), FW","Paco Alcácer Borussia Dortmund, 26, AM(R),FW ",11(15),1205,-,-,-,75.2,0.5,2,6.93,0.1,0.2,0.2,-,0.3,0.2,-,-,18,2,0.2,0.3,0.3,0.5,0.7,0.6,10.8,75.2,-,0.1,0.1
