Name,Fifa,Fifa Ability Overall,Liga,Position,Player,Apps,Minutes played,Assists,Yel,Red,Pass success percentage,Aerials Won per game,Man of the match,Rating,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage.1,Crosses,Long balls per game,Through balls per game
John Stiven Mendoza,S. Mendoza,71,Ligue1,AM(CLR),"John Stiven Mendoza Amiens, 27, AM(CLR) ",22(3),1884,2,4,0,78.1,0.4,-,6.63,1.2,0.6,1,-,0.3,1,-,-,2,1.7,1.6,1.8,0.1,2.1,2.8,1.1,23.9,78.1,0.6,0.7,-
Florian Miguel,F. Miguel,67,Ligue1,D(CL),"Florian Miguel Nimes, 23, D(CL) ",12(1),1117,1,1,1,76.7,1.6,-,6.63,1.5,1.6,1,0.5,3.4,0.3,0.5,-,-,0.3,0.2,1.5,0.1,0.3,0.3,0.7,32.1,76.7,0.2,1.9,-
Tomas Hubocan,T. Hubočan,71,Ligue1,D(CLR),"Tomas Hubocan Marseille, 33, D(CLR) ",0(2),67,-,1,0,70.6,2,-,6.63,1.5,1,0.5,1,2.5,0.5,-,-,-,0.5,0.5,-,-,-,1,-,8.5,70.6,-,-,-
Moussa Diaby,M. Diaby,70,Ligue1,"M(L), M(L)","Moussa Diaby Paris Saint-Germain, 20, M(L) ",10(15),1131,6,1,0,83.3,0.1,-,6.62,0.6,0.5,0.6,-,0.2,0.4,-,-,2,0.9,0.8,0.2,0.1,1,1.4,0.8,20.6,83.3,0.1,0.2,0.1
Adrien Hunou,A. Hunou,73,Ligue1,"AM(CLR), FW","Adrien Hunou Rennes, 25, AM(CLR),FW ",14(5),1241,1,1,0,76.8,0.6,-,6.62,0.6,0.3,0.7,-,0.4,0.4,-,-,7,1.4,0.2,1.2,0.7,0.3,1.4,0.5,15.4,76.8,-,0.1,-
Régis Gurtner,R. Gurtner,77,Ligue1,GK,"Régis Gurtner Amiens, 32, GK ",38,3420,-,4,0,52.2,0.2,4,6.62,-,-,-,-,0.3,-,-,-,-,-,-,0.2,-,-,-,0.1,28.2,52.2,-,8.4,-
Bafode Diakite,B. Dia,61,Ligue1,D(C),"Bafode Diakite Toulouse, 18, D(C) ",7(2),632,-,2,0,80,2.4,-,6.62,1.7,1.2,1,0.2,2.4,0.4,0.3,-,1,0.1,-,0.8,-,0.7,1,0.2,29.4,80,-,1,-
Danilo,Danilo,75,Ligue1,DMC,"Danilo Nice, 23, DMC ",18(4),1552,-,1,1,85.6,0.8,-,6.61,1.4,0.7,0.8,-,1,0.5,0.1,-,-,1,1.5,1.5,-,1.8,1.9,0.5,29.6,85.6,-,0.6,-
Arnaud Nordin,A. Nordin,70,Ligue1,"AM(LR), AM(LR)","Arnaud Nordin Saint-Etienne, 21, AM(LR) ",11(14),1048,1,2,0,84.4,0.4,1,6.61,0.6,0.2,0.5,-,0.3,0.3,0.1,-,3,1.6,0.9,1.4,-,1.2,1.3,0.5,12.1,84.4,0.2,0.2,-
Rachid Alioui,R. Alioui,70,Ligue1,FW,"Rachid Alioui Nimes, 27, FW ",11(16),1239,-,1,0,72.3,1.6,-,6.61,0.6,0.4,0.4,-,0.4,0.2,-,-,5,1.9,0.3,0.4,0.2,0.4,0.6,0.7,13.2,72.3,0.1,0.3,-
Diego Benaglio,D. Benaglio,77,Ligue1,GK,"Diego Benaglio Monaco, 35, GK ",22(1),2057,-,2,0,70.5,0.3,-,6.61,-,-,-,-,1.1,-,-,-,-,-,-,0.1,-,-,-,-,23.3,70.5,-,4.4,-
Baptiste Reynet,B. Reynet,78,Ligue1,GK,"Baptiste Reynet Toulouse, 28, GK ",31,2705,-,-,0,61.6,0.4,3,6.61,-,-,-,-,0.8,0.1,-,1,-,-,0.1,0.3,-,-,-,0.1,31.1,61.6,-,8.5,-
