Name,Name.1,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Long balls per game,Through balls per game,pos
Lionel Messi,"Lionel Messi Barcelona, 32, AM(CR),FW ",8.48,94,"AM(CR), FW",29,2710,13,3,0,0.2,17,0.4,0.1,0.6,0.0,0.0,0.5,0.0,0,36,5.0,3.9,1.9,0.5,2.3,1.9,2.7,53.8,81.3,0.4,3.4,0.9,OFF
Cristiano Ronaldo,"Cristiano Ronaldo Juventus, 34, M(L),FW ",7.68,94,"M(L), FW",30,2689,8,3,0,1.1,10,0.3,0.2,0.6,0.0,1.0,0.3,0.1,0,21,5.7,1.5,1.6,0.9,1.3,1.7,1.5,33.3,85.1,0.5,1.0,0.0,OFF
Neymar,"Neymar Paris Saint-Germain, 27, AM(CLR),FW ",8.26,92,"AM(CLR), FW",16,1444,7,2,0,0.5,7,0.8,0.3,0.7,0.0,0.1,1.0,0.0,0,15,3.2,4.4,3.4,0.4,4.2,4.1,2.5,57.8,81.1,1.0,2.5,0.9,OFF
Luis Suárez,"Luis Suárez Barcelona, 32, AM(CLR),FW ",7.57,91,"AM(CLR), FW",31,2830,6,5,0,0.7,5,0.5,0.2,0.9,0.0,0.7,0.2,0.1,0,21,3.4,1.1,1.7,0.8,1.6,2.3,1.4,29.0,75.3,0.2,1.5,0.1,OFF
Luka Modric,"Luka Modric Real Madrid, 33, M(C) ",7.03,91,M(C),31,2618,6,6,0,0.4,1,1.4,0.9,0.8,0.0,0.2,1.0,0.1,0,3,1.1,1.6,1.4,0.1,1.2,1.1,1.6,55.6,88.9,0.6,4.1,0.1,MID
Sergio Ramos,"Sergio Ramos Real Madrid, 33, D(CR) ",6.91,91,D(CR),28,2476,1,5,1,2.2,2,1.5,1.3,1.0,1.0,3.0,0.6,0.5,0,6,1.1,0.1,1.3,0.2,0.1,0.4,0.3,68.5,92.1,0.0,7.1,0.0,DEF
Leo Suárez,"Leo Suárez Real Valladolid, 23, FW ",6.25,91,FW,7,520,0,0,0,0.3,0,0.3,0.1,0.4,0.0,0.3,0.2,0.1,0,2,0.8,0.3,0.8,0.3,0.6,1.4,0.2,12.3,80.4,0.0,0.4,0.1,OFF
Eden Hazard,"Eden Hazard Chelsea, 28, M(CLR),FW ",7.81,91,"M(CLR), FW",32,2926,15,2,0,0.5,14,0.4,0.4,0.3,0.0,0.1,0.3,0.0,0,16,2.5,3.7,2.8,0.3,2.3,2.4,2.6,49.2,84.3,0.9,2.7,0.3,OFF
Kevin De Bruyne,"Kevin De Bruyne Manchester City, 28, M(CLR),FW ",7.05,91,"M(CLR), FW",11,978,2,2,0,0.3,2,1.2,0.2,0.5,0.1,0.1,0.7,0.1,0,2,1.6,1.0,0.8,0.1,0.7,1.2,1.9,38.2,83.7,1.1,2.4,0.2,OFF
Robert Lewandowski,"Robert Lewandowski Bayern Munich, 31, FW ",7.65,90,FW,33,2959,7,2,0,1.7,5,0.4,0.2,0.8,0.0,0.5,0.2,0.0,0,22,4.4,1.5,1.4,0.9,1.5,2.8,1.4,22.1,77.5,0.0,0.6,0.2,OFF
Toni Kroos,"Toni Kroos Real Madrid, 29, M(C) ",7.09,90,M(C),26,2227,4,2,0,0.8,2,1.8,0.5,0.8,0.0,0.4,1.5,0.1,0,0,1.1,0.5,2.0,0.0,0.4,0.6,2.3,74.0,93.2,1.5,7.8,0.1,MID
Diego Godín,"Diego Godín Atletico Madrid, 33, D(C) ",6.98,90,D(C),28,2508,1,7,0,3.0,1,1.7,1.5,1.1,0.2,4.5,0.7,0.3,1,3,0.5,0.3,0.8,0.0,0.0,0.4,0.1,34.9,80.5,0.0,3.1,0.0,DEF
David Silva,"David Silva Manchester City, 33, M(CLR) ",7.26,90,M(CLR),28,2412,8,3,0,0.6,1,0.9,0.7,0.8,0.0,0.4,0.6,0.0,0,6,1.5,0.9,0.8,0.2,0.9,0.8,2.2,61.1,87.8,0.5,1.2,0.2,MID
Antoine Griezmann,"Antoine Griezmann Atletico Madrid, 28, AM(CLR),FW ",7.29,89,"AM(CLR), FW",37,3204,9,5,0,1.1,4,0.8,0.3,0.5,0.0,0.6,0.5,0.0,0,15,3.1,0.5,0.9,0.3,1.3,1.5,2.0,37.5,78.3,0.6,1.3,0.1,OFF
Sergio Busquets,"Sergio Busquets Barcelona, 31, DMC ",7,89,DMC,30,2720,1,10,0,1.5,0,2.6,1.5,1.1,0.0,0.6,1.4,0.2,0,0,0.2,0.3,1.5,0.0,0.7,0.4,0.4,68.4,89.7,0.0,4.3,0.1,DEF
Edinson Cavani,"Edinson Cavani Paris Saint-Germain, 32, AM(LR),FW ",7.44,89,"AM(LR), FW",20,1676,5,1,0,0.2,2,0.5,0.3,0.5,0.0,0.7,0.5,0.1,0,18,2.5,0.6,0.8,0.5,0.6,1.8,0.6,16.7,76.3,0.0,0.3,0.0,OFF
Sergio Agüero,"Sergio Agüero Manchester City, 31, AM(CL),FW ",7.53,89,"AM(CL), FW",31,2480,8,3,0,0.5,5,0.5,0.3,0.6,0.0,0.1,0.1,0.0,0,21,3.6,1.4,0.8,0.8,1.6,2.2,1.0,23.4,85.0,0.0,0.1,0.1,OFF
Harry Kane,"Harry Kane Tottenham, 26, AM(C),FW ",7.38,89,"AM(C), FW",27,2427,4,5,0,1.8,6,0.4,0.0,1.1,0.0,0.5,0.5,0.2,0,17,3.6,1.4,1.9,0.4,1.6,2.9,1.1,19.7,73.1,0.1,1.6,0.0,OFF
NGolo Kanté,"N'Golo Kanté Chelsea, 28, DMC ",6.93,89,DMC,36,3096,4,3,0,0.8,1,2.1,1.2,1.0,0.0,0.7,1.2,0.2,0,4,0.8,0.9,0.4,0.2,1.5,1.6,1.3,56.2,87.9,0.2,1.0,0.1,DEF
Paulo Dybala,"Paulo Dybala Juventus, 25, AM(CR),FW ",7.08,89,"AM(CR), FW",24,2137,4,2,0,0.1,4,0.6,0.5,0.6,0.0,0.0,0.5,0.1,0,5,2.2,1.7,2.2,0.2,1.4,2.4,1.7,39.1,89.3,0.9,3.7,0.1,OFF
Giorgio Chiellini,"Giorgio Chiellini Juventus, 35, D(C) ",6.98,89,D(C),22,1990,1,3,0,2.1,0,1.0,1.2,0.6,0.2,3.7,0.1,0.6,0,1,0.5,0.2,0.8,0.0,0.4,0.4,0.3,53.4,84.9,0.2,4.4,0.0,DEF
James Rodríguez,"James Rodríguez Bayern Munich, 28, AM(CLR) ",7.24,88,AM(CLR),13,1143,3,2,0,0.2,3,0.6,0.2,0.4,0.0,0.1,0.7,0.0,0,7,1.8,0.8,0.8,0.3,0.6,0.7,2.6,43.9,87.1,1.6,2.4,0.2,MID
Mats Hummels,"Mats Hummels Bayern Munich, 30, D(C) ",7.17,88,D(C),20,1776,1,1,0,4.0,0,1.2,1.6,0.4,0.2,2.3,0.7,0.4,0,1,0.9,0.5,0.4,0.0,0.1,0.4,0.6,82.6,89.4,0.0,4.5,0.1,DEF
Casemiro,"Casemiro Real Madrid, 27, DMC ",7.15,88,DMC,27,2316,0,5,1,3.0,4,3.0,1.4,1.6,0.2,1.8,1.9,0.4,0,3,1.4,0.6,1.7,0.0,0.6,0.5,0.5,55.8,88.0,0.1,4.9,0.0,DEF
Philippe Coutinho,"Philippe Coutinho Barcelona, 27, M(CLR) ",6.93,88,M(CLR),22,2023,2,2,0,0.2,0,0.5,0.4,0.6,0.0,0.1,0.4,0.1,0,5,2.0,1.5,1.3,0.2,1.4,1.2,0.9,40.8,87.9,0.2,1.2,0.1,MID
Gareth Bale,"Gareth Bale Real Madrid, 30, M(CLR),FW ",6.88,88,"M(CLR), FW",21,1794,3,4,0,1.3,2,0.6,0.4,0.6,0.0,0.4,0.5,0.1,0,8,2.6,0.8,0.7,0.5,0.7,0.8,0.6,23.8,78.3,0.4,1.5,0.0,OFF
Isco,"Isco Real Madrid, 27, AM(CLR),FW ",6.66,88,"AM(CLR), FW",11,1188,2,3,0,0.3,0,1.1,0.2,0.7,0.0,0.1,0.7,0.0,0,3,0.9,1.3,1.3,0.1,1.1,0.9,1.0,34.4,88.6,0.3,1.5,0.1,OFF
Kylian Mbappé,"Kylian Mbappé Paris Saint-Germain, 20, AM(LR),FW ",8,88,"AM(LR), FW",24,2344,7,5,1,0.1,9,0.3,0.2,0.7,0.0,0.1,0.2,0.0,0,33,4.3,2.2,1.5,1.0,1.5,2.1,1.6,26.9,79.4,0.2,0.6,0.1,OFF
Loïc Mbe Soh,"Loïc Mbe Soh Paris Saint-Germain, 18, Forward ",7.07,88,"Forward, Forward",2,180,0,0,0,3.5,0,0.0,1.5,0.5,1.0,2.5,1.5,1.0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,63.5,91.3,0.0,0.5,0.0,OFF
Thiago Silva,"Thiago Silva Paris Saint-Germain, 34, D(C) ",7.06,88,"D(C), D(C)",24,2079,1,4,0,2.0,0,0.6,1.3,0.8,0.4,3.7,0.2,0.8,0,0,0.5,0.1,1.0,0.0,0.1,0.2,0.2,75.0,94.2,0.0,3.5,0.1,DEF
Mohamed Salah,"Mohamed Salah Liverpool, 27, AM(CLR),FW ",7.57,88,"AM(CLR), FW",37,3262,8,1,0,0.3,8,0.6,0.1,0.7,0.0,0.1,0.3,0.0,0,22,3.6,2.1,0.8,0.7,3.1,2.9,1.8,28.4,75.9,0.4,0.6,0.3,OFF
Pierre-Emerick Aubameyang,"Pierre-Emerick Aubameyang Arsenal, 30, M(LR),FW ",7.1,88,"M(LR), FW",30,2733,5,0,0,0.9,4,0.6,0.2,0.4,0.0,0.5,0.6,0.0,0,22,2.6,0.8,0.6,0.6,0.9,1.7,0.9,19.2,74.0,0.3,0.3,0.0,OFF
Christian Eriksen,"Christian Eriksen Tottenham, 27, M(CLR) ",7.08,88,M(CLR),30,2772,12,3,0,0.4,2,1.2,0.4,0.5,0.0,0.2,1.2,0.1,0,8,2.4,0.5,0.5,0.1,0.8,1.7,2.1,53.5,81.0,0.9,2.3,0.3,MID
Lorenzo Insigne,"Lorenzo Insigne Napoli, 28, AM(CL),FW ",7.16,88,"AM(CL), FW",24,2080,6,6,1,0.1,3,0.5,0.3,0.3,0.0,0.1,0.4,0.0,0,10,4.3,0.9,0.5,0.6,1.0,1.6,2.3,43.9,86.0,0.4,2.8,0.2,OFF
Gerard Piqué,"Gerard Piqué Barcelona, 32, D(C) ",7.18,87,D(C),35,3150,2,6,0,3.4,0,1.2,1.0,0.7,0.4,4.2,0.4,0.8,0,4,0.5,0.3,0.6,0.1,0.3,0.5,0.2,68.3,91.4,0.0,4.3,0.0,DEF
Ivan Rakitic,"Ivan Rakitic Barcelona, 31, M(C) ",7.06,87,M(C),29,2643,5,5,1,1.1,1,0.9,1.5,0.8,0.1,0.8,0.7,0.2,0,3,1.1,0.6,1.6,0.1,0.7,0.7,0.5,74.6,91.4,0.1,4.6,0.1,MID
Jordi Alba,"Jordi Alba Barcelona, 30, D(L) ",7.01,87,D(L),32,2988,8,6,0,0.5,1,1.2,1.7,0.7,0.4,1.6,0.8,0.2,0,2,0.4,0.4,0.5,0.3,0.6,0.8,1.3,65.6,85.6,0.3,2.0,0.1,DEF
Samuel Umtiti,"Samuel Umtiti Barcelona, 25, D(CL) ",6.6,87,D(CL),13,1190,1,4,0,0.9,0,0.6,1.3,0.9,0.4,1.9,0.1,0.6,0,0,0.1,0.3,1.1,0.1,0.3,0.1,0.1,63.4,94.5,0.0,2.2,0.0,DEF
Paul Pogba,"Paul Pogba Manchester United, 26, M(C) ",7.31,87,M(C),34,3012,9,6,0,1.7,7,1.3,0.5,1.5,0.0,1.0,0.7,0.3,0,13,3.0,1.7,2.0,0.1,2.5,2.1,1.6,59.1,82.8,0.1,4.7,0.2,MID
Jan Vertonghen,"Jan Vertonghen Tottenham, 32, D(CL) ",6.89,87,D(CL),22,1915,0,3,1,2.3,1,1.8,1.5,0.5,0.9,3.3,0.5,0.5,0,1,0.7,0.4,0.5,0.0,0.1,0.5,0.2,69.6,87.5,0.2,3.1,0.0,DEF
Romelu Lukaku,"Romelu Lukaku Manchester United, 26, AM(R),FW ",6.84,87,"AM(R), FW",22,2130,0,4,0,2.9,2,0.3,0.1,0.6,0.0,0.6,0.3,0.0,0,12,1.7,0.7,0.1,0.7,1.4,1.6,0.7,16.7,66.3,0.2,0.4,0.1,OFF
Dries Mertens,"Dries Mertens Napoli, 32, AM(CLR),FW ",7.2,87,"AM(CLR), FW",23,2253,11,1,0,0.2,4,0.5,0.4,0.9,0.0,0.1,0.6,0.0,0,16,2.5,0.5,0.8,0.4,0.8,1.2,2.0,24.2,79.0,0.5,0.7,0.1,OFF
Kalidou Koulibaly,"Kalidou Koulibaly Napoli, 28, D(C) ",7.06,87,D(C),35,3134,2,10,1,2.2,2,1.7,1.1,1.4,0.5,3.9,0.5,0.9,0,2,0.5,0.3,0.5,0.0,0.3,0.5,0.2,71.9,88.7,0.0,4.5,0.0,DEF
Ciro Immobile,"Ciro Immobile Lazio, 29, FW ",6.96,87,FW,31,2858,6,6,0,0.5,3,0.3,0.0,0.7,0.0,0.2,0.1,0.0,0,15,3.4,0.9,1.1,1.1,1.0,2.3,1.5,25.3,77.4,0.1,0.6,0.1,OFF
Mauro Icardi,"Mauro Icardi Inter, 26, FW ",6.84,87,FW,24,2270,4,0,0,1.6,2,0.3,0.1,0.7,0.0,0.7,0.2,0.0,0,11,2.5,0.3,0.6,0.7,0.7,1.5,1.2,14.1,71.1,0.2,0.4,0.0,OFF
Marek Hamsik,"Marek Hamsik Napoli, 32, M(C),FW ",6.66,87,"M(C), FW",12,922,0,1,0,0.6,0,0.5,0.9,0.4,0.1,1.0,0.8,0.1,0,0,1.2,0.5,0.2,0.0,0.5,0.4,1.2,65.2,88.4,0.0,5.0,0.0,OFF
Thiago Alcántara,"Thiago Alcántara Bayern Munich, 28, M(C) ",7.59,86,M(C),26,2409,6,5,0,1.2,3,2.9,1.5,1.7,0.0,0.6,0.8,0.1,0,2,0.8,1.9,1.1,0.0,0.9,0.7,1.3,83.6,91.8,0.5,7.3,0.1,MID
Marco Reus,"Marco Reus Borussia Dortmund, 30, M(CLR),FW ",7.39,86,"M(CLR), FW",27,2322,8,3,1,0.7,5,1.2,0.3,1.3,0.0,1.2,0.9,0.0,0,17,2.6,0.9,1.1,0.6,1.4,2.0,1.4,37.6,81.8,0.4,1.5,0.1,OFF
Thomas Müller,"Thomas Müller Bayern Munich, 29, M(CLR),FW ",7.19,86,"M(CLR), FW",28,2391,9,1,0,1.6,3,1.3,0.3,0.7,0.0,0.4,0.9,0.2,0,6,2.0,0.7,0.8,0.5,0.5,1.5,1.9,37.5,74.7,0.2,1.2,0.1,OFF
Raphael Varane,"Raphael Varane Real Madrid, 26, D(C) ",6.78,86,D(C),31,2757,0,0,1,2.9,0,1.0,1.0,0.3,0.7,4.3,0.1,0.3,0,2,0.6,0.2,0.4,0.0,0.2,0.4,0.1,53.3,89.0,0.0,4.1,0.0,DEF
Marco Verratti,"Marco Verratti Paris Saint-Germain, 26, DMC ",7.07,86,"DMC, DMC",23,1887,2,7,0,0.2,1,2.8,0.7,1.3,0.0,0.3,1.7,0.0,0,0,0.1,1.3,2.2,0.0,1.4,0.8,1.1,79.5,90.9,0.0,2.6,0.5,DEF
Raheem Sterling,"Raheem Sterling Manchester City, 24, M(CLR),FW ",7.61,86,"M(CLR), FW",31,2777,10,3,0,0.4,8,0.9,0.5,1.2,0.0,0.1,0.5,0.1,0,17,2.3,2.4,1.3,0.4,2.6,2.2,1.9,37.1,85.8,0.4,0.3,0.0,OFF
Virgil van Dijk,"Virgil van Dijk Liverpool, 28, D(C) ",7.44,86,D(C),38,3385,2,1,0,4.8,4,1.0,1.1,0.3,1.1,5.2,0.0,0.5,0,4,0.8,0.2,0.6,0.0,0.0,0.2,0.2,79.9,89.7,0.0,5.3,0.0,DEF
Sadio Mané,"Sadio Mané Liverpool, 27, AM(CLR),FW ",7.43,86,"AM(CLR), FW",35,3086,1,2,0,1.0,6,1.0,0.4,0.9,0.1,0.2,0.8,0.1,0,22,2.4,1.4,1.8,0.7,1.3,2.9,1.3,32.9,78.2,0.2,1.3,0.1,OFF
Fernandinho,"Fernandinho Manchester City, 34, D(R),DMC ",7.31,86,"D(R), DMC",27,2382,3,5,0,2.6,2,2.0,1.4,1.4,0.1,2.4,0.7,0.1,0,1,1.0,0.7,0.9,0.1,0.4,0.9,0.8,70.7,87.5,0.0,2.7,0.2,DEF
Bernardo Silva,"Bernardo Silva Manchester City, 25, AM(CLR) ",7.26,86,AM(CLR),31,2853,7,3,0,0.3,4,1.4,0.7,0.9,0.0,0.7,1.4,0.1,0,7,1.7,1.4,0.7,0.1,1.0,1.2,2.0,47.4,86.1,0.3,2.0,0.1,MID
Leroy Sané,"Leroy Sané Manchester City, 23, M(CLR) ",7.26,86,M(CLR),21,1867,10,1,0,0.3,1,0.8,0.3,0.3,0.0,0.1,0.7,0.1,0,10,1.8,1.8,0.5,0.6,1.4,2.3,1.3,27.3,84.4,0.5,0.1,0.1,MID
Roberto Firmino,"Roberto Firmino Liverpool, 27, M(CLR),FW ",7.2,86,"M(CLR), FW",31,2620,6,0,0,0.9,4,0.9,0.2,1.1,0.0,0.4,0.8,0.0,0,12,2.2,1.4,0.3,0.2,1.8,2.3,1.3,37.6,80.8,0.1,0.5,0.1,OFF
César Azpilicueta,"César Azpilicueta Chelsea, 30, D(CLR),M(R) ",7.01,86,"D(CLR), M(R)",38,3403,5,4,0,1.8,1,2.8,1.1,1.0,0.4,2.0,0.8,0.4,0,1,0.4,0.3,0.4,0.1,0.2,0.9,0.7,65.3,87.0,0.6,1.3,0.1,DEF
Toby Alderweireld,"Toby Alderweireld Tottenham, 30, D(CR) ",6.84,86,D(CR),33,2924,0,3,0,1.6,0,1.1,0.7,0.3,0.6,4.9,0.3,0.6,1,0,0.6,0.0,0.0,0.0,0.0,0.2,0.2,69.4,88.5,0.1,7.1,0.1,DEF
Mesut Özil,"Mesut Özil Arsenal, 30, M(CLR) ",6.78,86,M(CLR),20,1742,2,2,0,0.2,2,0.5,0.2,0.4,0.0,0.2,0.8,0.1,0,5,0.5,0.9,0.9,0.4,1.4,2.0,1.9,46.6,88.6,0.8,1.2,0.1,MID
Alex Sandro,"Alex Sandro Juventus, 28, D(L),M(L) ",7.15,86,"D(L), M(L)",28,2392,2,7,0,1.8,3,2.2,1.2,1.6,0.2,1.9,0.5,0.3,0,1,0.7,0.9,1.6,0.1,0.8,1.1,1.2,51.0,84.6,0.6,2.5,0.0,DEF
Medhi Benatia,"Medhi Benatia Juventus, 32, D(C) ",7.13,86,D(C),5,450,0,2,0,3.0,0,1.4,3.2,2.6,0.4,3.4,0.4,1.0,0,0,0.6,0.4,0.6,0.0,0.4,0.0,0.0,63.4,90.5,0.0,4.8,0.0,DEF
Miralem Pjanic,"Miralem Pjanic Juventus, 29, M(C) ",7.03,86,M(C),27,2288,6,5,1,0.4,3,1.3,1.2,1.2,0.0,0.6,1.4,0.2,0,2,0.9,0.4,0.7,0.0,0.5,0.8,2.3,62.5,92.1,1.2,5.8,0.1,MID
Leonardo Bonucci,"Leonardo Bonucci Juventus, 32, D(C) ",6.8,86,D(C),27,2471,0,2,0,1.7,0,0.6,1.3,0.5,0.2,2.8,0.1,0.7,0,3,0.5,0.1,0.8,0.1,0.1,0.3,0.3,55.7,86.6,0.1,5.7,0.0,DEF
Adam Marusic,"Adam Marusic Lazio, 26, M(R) ",6.63,86,M(R),24,2114,1,2,0,1.2,0,1.2,0.9,1.2,0.0,1.0,0.3,0.2,0,1,0.6,0.8,0.7,0.1,0.8,0.9,0.8,29.4,83.9,0.6,1.0,0.0,MID
Joshua Kimmich,"Joshua Kimmich Bayern Munich, 24, D(CR),DMC ",7.49,85,"D(CR), DMC",34,3060,13,4,0,0.7,4,1.4,1.0,0.8,0.1,1.0,0.9,0.3,0,2,0.7,1.1,1.5,0.1,0.7,1.2,2.4,74.1,90.5,2.2,4.2,0.1,DEF
David Alaba,"David Alaba Bayern Munich, 27, D(CL),M(C) ",7.01,85,"D(CL), M(C)",29,2534,3,4,0,0.8,0,1.1,1.0,0.4,0.3,1.0,0.3,0.1,0,3,1.5,0.9,0.4,0.2,0.6,0.8,0.9,56.9,85.5,0.7,1.7,0.0,DEF
Jérôme Boateng,"Jérôme Boateng Bayern Munich, 31, D(CR) ",6.87,85,D(CR),19,1694,2,1,0,1.5,0,1.1,1.3,0.8,0.7,2.5,0.6,0.2,0,0,0.7,0.1,0.5,0.0,0.0,0.3,0.6,79.8,89.0,0.1,7.1,0.2,DEF
Daniel Parejo,"Daniel Parejo Valencia, 30, M(C) ",7.4,85,M(C),35,3063,7,6,1,0.9,9,2.0,1.3,0.8,0.0,0.6,1.6,0.2,0,9,1.2,1.0,1.5,0.0,0.6,0.9,2.3,61.5,85.8,1.9,5.6,0.1,MID
Karim Benzema,"Karim Benzema Real Madrid, 31, FW ",7.38,85,FW,35,2964,6,1,0,1.2,7,0.7,0.2,0.6,0.0,0.7,0.4,0.0,0,21,2.9,1.3,0.6,1.0,1.3,1.7,1.3,32.9,82.6,0.1,1.1,0.1,OFF
Saúl Ñíguez,"Saúl Ñíguez Atletico Madrid, 24, D(CL),M(CLR) ",7.17,85,"D(CL), M(CLR)",32,2925,1,10,0,2.9,4,2.5,1.3,1.7,0.1,2.2,1.5,0.3,1,4,1.6,1.0,0.8,0.2,1.0,1.4,0.5,44.9,78.8,0.1,1.5,0.1,DEF
Koke,"Koke Atletico Madrid, 27, M(CLR) ",7.09,85,M(CLR),29,2588,4,8,1,0.5,1,2.8,1.0,1.1,0.0,1.1,1.7,0.2,0,3,0.7,0.4,1.3,0.1,1.3,1.0,2.0,64.7,86.2,1.0,3.2,0.1,MID
Filipe Luís,"Filipe Luís Atletico Madrid, 34, D(L) ",6.96,85,D(L),24,2038,2,4,0,0.7,0,2.4,1.6,1.0,0.0,1.4,1.0,0.1,0,2,0.4,0.9,0.5,0.1,0.7,0.6,0.6,47.7,83.1,0.3,1.5,0.0,DEF
Arturo Vidal,"Arturo Vidal Barcelona, 32, M(C) ",6.89,85,M(C),22,1929,7,7,0,1.2,0,2.4,0.9,1.8,0.1,0.6,1.2,0.2,0,3,0.7,0.2,1.0,0.0,0.5,0.9,0.7,45.4,89.0,0.1,1.6,0.1,MID
Marco Asensio,"Marco Asensio Real Madrid, 23, AM(CLR) ",6.78,85,AM(CLR),19,1779,4,3,0,0.1,0,0.4,0.5,0.6,0.0,0.1,0.7,0.0,0,1,1.5,1.4,0.7,0.3,0.5,1.5,1.0,30.4,86.8,0.8,1.0,0.2,MID
Diego Costa,"Diego Costa Atletico Madrid, 30, FW ",6.46,85,FW,14,1117,2,4,1,1.8,0,0.3,0.1,1.4,0.0,0.4,0.4,0.0,0,2,1.0,0.6,0.9,0.7,1.6,2.5,0.6,18.8,70.3,0.0,0.4,0.0,OFF
Nabil Fekir,"Nabil Fekir Lyon, 26, AM(CR),FW ",7.31,85,"AM(CR), FW",24,1991,7,5,0,0.5,5,1.8,0.2,1.5,0.0,0.1,0.9,0.0,0,9,3.1,1.6,2.2,0.6,1.5,1.8,1.8,34.1,85.2,1.0,1.2,0.1,OFF
Alexandre Lacazette,"Alexandre Lacazette Arsenal, 28, M(LR),FW ",7.17,85,"M(LR), FW",27,2507,8,2,0,1.3,4,1.0,0.4,1.5,0.0,0.8,0.7,0.0,0,13,2.3,1.3,1.5,0.7,1.7,2.0,0.9,22.0,74.2,0.1,0.5,0.1,OFF
Nicolás Otamendi,"Nicolás Otamendi Manchester City, 31, D(C) ",6.98,85,D(C),14,1234,0,1,0,2.2,0,1.4,1.6,0.4,0.6,3.1,0.2,0.2,0,0,0.8,0.1,0.2,0.0,0.0,0.1,0.1,69.0,92.7,0.0,2.6,0.0,DEF
Riyad Mahrez,"Riyad Mahrez Manchester City, 28, AM(CLR) ",6.96,85,AM(CLR),14,1338,4,0,0,0.7,3,0.5,0.3,0.4,0.0,0.1,0.4,0.0,0,7,2.0,0.9,0.6,0.3,1.0,1.0,0.9,29.5,84.7,0.6,1.4,0.2,MID
Vincent Kompany,"Vincent Kompany Manchester City, 33, D(C) ",6.93,85,D(C),13,1223,0,6,0,2.2,0,0.9,0.9,1.0,0.6,3.2,0.1,0.5,0,1,0.3,0.2,0.0,0.1,0.0,0.3,0.1,72.2,93.0,0.0,3.7,0.0,DEF
Alexis Sánchez,"Alexis Sánchez Manchester United, 30, M(CLR),FW ",6.6,85,"M(CLR), FW",9,877,3,3,0,0.4,0,0.9,0.5,0.7,0.0,0.1,0.4,0.0,0,1,0.9,0.7,0.9,0.4,1.3,1.1,1.1,19.1,74.6,0.3,1.2,0.1,OFF
Edin Dzeko,"Edin Dzeko Roma, 33, FW ",7.24,85,FW,28,2576,6,9,0,4.0,6,0.4,0.0,0.9,0.0,1.1,0.4,0.0,0,9,4.0,1.0,1.1,0.4,1.5,2.2,1.4,21.4,70.9,0.2,1.4,0.1,OFF
Sergej Milinkovic-Savic,"Sergej Milinkovic-Savic Lazio, 24, AM(C) ",7.15,85,"AM(C), AM(C)",29,2405,3,7,1,3.6,2,1.4,0.9,1.9,0.0,1.5,1.2,0.1,0,5,2.5,1.1,1.1,0.4,1.5,2.1,1.5,45.2,79.6,0.1,2.6,0.2,MID
Ivan Perisic,"Ivan Perisic Inter, 30, AM(CLR) ",7.06,85,AM(CLR),30,2707,3,5,0,1.8,5,1.0,0.7,0.8,0.0,1.4,1.0,0.1,1,8,2.9,0.7,0.3,0.3,0.5,1.5,1.8,33.1,74.6,1.4,1.0,0.1,MID
Milan Skriniar,"Milan Skriniar Inter, 24, D(C) ",6.89,85,D(C),35,3150,1,4,0,2.0,0,1.8,0.8,1.2,0.5,3.8,0.6,0.8,1,0,0.4,0.2,0.8,0.0,0.2,0.5,0.2,68.6,92.6,0.0,3.6,0.0,DEF
Radja Nainggolan,"Radja Nainggolan Inter, 31, M(C) ",6.89,85,M(C),22,1972,3,3,0,0.6,1,1.2,0.3,1.1,0.0,0.2,0.5,0.1,0,6,2.4,0.9,0.9,0.1,1.6,1.9,1.4,33.1,84.3,0.3,1.8,0.1,MID
Kostas Manolas,"Kostas Manolas Roma, 28, D(C) ",6.89,85,D(C),27,2328,1,6,0,2.5,0,1.2,1.9,1.1,1.2,4.3,0.3,0.9,0,1,0.5,0.1,0.7,0.0,0.0,0.3,0.1,38.4,87.9,0.0,2.7,0.0,DEF
Blaise Matuidi,"Blaise Matuidi Juventus, 32, M(CL) ",6.85,85,M(CL),29,2428,2,5,0,0.8,0,1.9,0.8,1.1,0.0,0.5,0.5,0.3,0,3,0.6,0.6,0.8,0.2,0.6,1.3,0.7,39.6,87.6,0.1,1.6,0.0,MID
Sami Khedira,"Sami Khedira Juventus, 32, M(C) ",6.75,85,M(C),8,711,1,0,0,0.5,0,1.0,0.5,0.5,0.0,0.6,0.4,0.3,0,2,1.7,0.0,0.5,0.0,0.4,0.8,0.6,35.1,85.8,0.1,0.4,0.0,MID
Miranda,"Miranda Inter, 34, D(C) ",6.55,85,D(C),14,1161,0,3,0,1.6,0,0.8,1.1,1.4,0.4,3.2,0.3,0.5,0,0,0.3,0.1,0.6,0.1,0.1,0.5,0.1,58.8,89.6,0.0,3.9,0.0,DEF
