Name,Name.1,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Long balls per game,Through balls per game,pos
Manuel Pasqual,"Manuel Pasqual Empoli, 37, D(L),M(L) ",6.36,74,"D(L), M(L)",13,1339,2,2,0,0.2,0,1.2,0.5,0.6,0.2,1.1,1.3,0.0,0,1,0.4,0.1,0.5,0.0,0.3,0.5,1.0,34.0,73.1,1.4,2.1,0.0,DEF
Nicola Rigoni,"Nicola Rigoni Chievo, 28, DMC ",6.3,74,DMC,23,1958,1,8,0,2.0,0,1.8,1.0,2.0,0.0,1.8,1.2,0.2,0,0,0.9,0.1,0.8,0.0,0.4,0.5,0.3,37.1,80.5,0.0,1.9,0.0,DEF
Diego Falcinelli,"Diego Falcinelli Bologna, 28, FW ",6.25,74,FW,8,707,1,0,0,1.2,0,0.5,0.1,0.8,0.0,0.2,0.1,0.1,0,0,1.0,0.5,1.3,0.0,1.9,1.7,0.3,8.4,83.7,0.1,0.1,0.0,OFF
Amato Ciciretti,"Amato Ciciretti Parma Calcio 1913, 25, AM(R) ",6.2,74,AM(R),1,136,0,0,0,0.2,0,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0,0,0.2,1.2,0.7,0.0,0.3,0.5,0.3,10.3,72.6,0.2,0.8,0.0,MID
Antonio Di Gaudio,"Antonio Di Gaudio Parma Calcio 1913, 30, AM(L) ",6.15,74,AM(L),9,704,1,0,0,0.2,0,0.2,0.3,0.3,0.0,0.3,0.3,0.1,0,0,1.1,0.5,1.2,0.4,0.7,2.4,0.3,9.3,60.4,0.0,0.0,0.0,MID
Manuel Pucciarelli,"Manuel Pucciarelli Chievo, 28, FW ",6.02,74,FW,3,299,0,1,0,0.2,0,0.4,0.3,0.7,0.0,0.2,0.3,0.0,0,0,0.1,0.3,0.5,0.1,0.9,0.7,0.1,9.2,77.2,0.0,0.0,0.0,OFF
Marko Grujic,"Marko Grujic Hertha Berlin, 23, DMC ",7.26,73,DMC,20,1780,1,5,0,3.2,3,2.0,1.3,2.0,0.1,2.3,1.1,0.3,0,5,2.1,1.4,1.0,0.0,0.9,1.0,0.7,43.1,81.9,0.0,1.6,0.0,DEF
Valentino Lazaro,"Valentino Lazaro Hertha Berlin, 23, D(R),M(CLR) ",7,73,"D(R), M(CLR)",31,2743,6,6,0,0.6,1,1.5,1.4,0.7,0.2,1.7,1.0,0.4,0,3,0.6,1.1,0.9,0.2,0.8,1.4,1.8,38.9,76.3,1.5,1.6,0.0,DEF
Jean-Philippe Mateta,"Jean-Philippe Mateta Mainz 05, 22, FW ",6.93,73,FW,29,2495,2,2,0,3.2,3,0.4,0.1,0.9,0.0,0.6,0.3,0.1,0,14,2.9,1.0,0.9,1.1,1.8,2.9,0.9,13.2,71.2,0.1,0.3,0.0,OFF
Markus Suttner,"Markus Suttner Fortuna Duesseldorf, 32, D(L),M(L) ",6.89,73,"D(L), M(L)",6,491,1,1,0,1.2,0,1.7,1.3,1.0,0.5,1.5,0.7,0.5,0,1,0.7,0.0,0.2,0.0,0.7,0.5,1.5,33.0,77.3,1.5,3.8,0.0,DEF
André Hahn,"André Hahn Augsburg, 29, AM(R),FW ",6.87,73,"AM(R), FW",21,2050,4,7,0,2.0,1,2.3,1.0,2.4,0.0,1.0,1.1,0.1,0,4,1.3,0.6,0.7,0.8,1.0,1.6,1.1,16.3,57.8,0.7,0.7,0.0,OFF
Giulio Donati,"Giulio Donati Mainz 05, 29, D(R),M(R) ",6.85,73,"D(R), M(R)",6,627,0,2,0,0.8,0,1.0,1.8,0.7,0.0,2.3,0.2,0.3,0,0,0.2,0.6,0.7,0.0,0.2,0.6,0.8,27.3,76.4,0.7,1.6,0.0,DEF
Dodi Lukébakio,"Dodi Lukébakio Fortuna Duesseldorf, 21, AM(R),FW ",6.82,73,"AM(R), FW",22,1978,3,6,0,0.7,2,0.8,0.3,0.9,0.0,0.6,0.2,0.0,0,10,1.8,1.6,1.6,0.5,1.5,2.4,0.6,17.6,75.8,0.3,0.9,0.0,OFF
Gian-Luca Waldschmidt,"Gian-Luca Waldschmidt Freiburg, 23, AM(CR),FW ",6.75,73,"AM(CR), FW",16,1719,1,1,0,0.4,2,0.7,0.4,1.1,0.0,0.2,0.6,0.1,0,9,2.1,0.7,0.9,0.1,0.7,1.2,0.8,19.3,81.0,0.3,1.2,0.1,OFF
Niko Gießelmann,"Niko Gießelmann Fortuna Duesseldorf, 27, D(CL),M(L) ",6.75,73,"D(CL), M(L)",29,2593,3,2,0,1.8,0,1.9,1.2,0.9,0.4,2.2,1.1,0.2,0,0,0.9,0.4,1.1,0.1,0.3,1.1,0.9,35.9,74.4,0.6,3.2,0.0,DEF
Benito Raman,"Benito Raman Fortuna Duesseldorf, 24, AM(LR),FW ",6.74,73,"AM(LR), FW",19,1679,4,1,0,0.2,3,1.2,0.5,0.9,0.0,0.3,1.4,0.1,0,10,1.8,1.2,0.6,0.0,0.9,1.9,0.7,13.6,70.3,0.3,1.0,0.0,OFF
Rouwen Hennings,"Rouwen Hennings Fortuna Duesseldorf, 32, FW ",6.68,73,FW,19,1832,4,3,0,1.9,0,0.5,0.1,0.8,0.0,0.7,0.4,0.0,0,7,2.0,0.1,0.8,0.2,0.4,1.2,1.0,15.3,66.4,0.0,0.5,0.1,OFF
Moussa Niakhaté,"Moussa Niakhaté Mainz 05, 23, D(C) ",6.66,73,D(C),32,2790,1,3,0,2.1,0,1.5,1.3,1.1,0.7,4.1,0.4,0.7,0,1,0.3,0.2,0.6,0.0,0.2,0.6,0.3,45.3,82.5,0.0,4.3,0.0,DEF
Arne Maier,"Arne Maier Hertha Berlin, 20, DMC ",6.65,73,DMC,23,2069,0,2,0,0.9,0,1.3,1.2,0.7,0.0,1.4,0.8,0.4,0,0,0.8,0.9,0.6,0.0,0.5,1.8,0.8,49.0,86.7,0.1,1.8,0.0,DEF
